study_name,run_id,study_dir,manifest_hash,split_id,seed,variant_tag,variant_label,policy,menu_k,candidate_pool_size,displayed_meeting_points,home_always_shown,net_profit,adjusted_profit,service_constrained_net_profit,opt_out_rate,service_quit_rate_guardrail,service_guardrail_pass,service_guardrail_violation,avg_exact_enumerated_menu_count,service_constrained_fallback_rate,study_type,study_role,suite_name,suite_run_id,timestamp_utc,code_version_marker,train_split,test_split,trace_seed,instance,max_steps_r,outside_option_util,ablation_tag,is_reference,reference_tag,reference_policy,paired_reference_policy,paired_baseline_policy,checkpoint_path,checkpoint_reused,checkpoint_source,episodes,served_customers,travel_time,travel_cost,service_cost,failure_cost,discount_cost,charge_revenue,total_cost,quit_penalty_total,home_pickup_count,menu_request_count,opt_out_count,average_menu_size,avg_meeting_point_count_per_menu,home_pickup_only_share,home_pickup_only_with_feasible_meeting_point_share,home_pickup_share,avg_walk_distance,avg_pickup_time_deviation,avg_in_vehicle_time,avg_chosen_predicted_cost,avg_chosen_price,avg_menu_build_time,avg_step_time,acceptance_rate,non_home_acceptance_rate,consumer_surplus,price_at_floor_fraction,price_at_ceil_fraction,avg_fn_pruning_rate,avg_fn_pruned_near,avg_fn_pruned_mid,avg_fn_pruned_far,avg_eta_mae,avg_ivt_mae,avg_displayed_eta_mae,avg_displayed_ivt_mae,avg_displayed_eta_bias,avg_displayed_ivt_bias,displayed_eta_p50,displayed_eta_p90,displayed_eta_p95,displayed_ivt_p50,displayed_ivt_p90,displayed_ivt_p95,exact_gap_logged_share,avg_exact_menu_value,avg_greedy_menu_value,avg_relative_optimality_gap,avg_menu_overlap_rate,avg_exact_build_time,avg_greedy_build_time,avg_exact_gap_candidate_count,avg_service_constrained_predicted_opt_out,avg_service_constrained_adjusted_profit,cost_pred_mae,cost_pred_rmse,spearman_cost_ranking,top_L_overlap,ndcg_at_L,menu_regret,cost_pred_n_samples,offer_trace_count,avg_offer_predicted_cost,avg_offer_menu_eval_cost,avg_offer_system_eval_cost,avg_offer_system_minus_menu_cost,avg_offer_price,avg_offer_choice_probability,avg_offer_expected_profit,avg_selected_offer_expected_profit,avg_unselected_offer_expected_profit,is_behavior_non_degenerate,mean_net_profit_gap_vs_reference,mean_total_cost_gap_vs_reference,net_profit_win_rate_vs_reference,net_profit_gap_ci95_half_width_vs_reference,mean_net_profit_gap_vs_baseline,mean_total_cost_gap_vs_baseline,net_profit_win_rate_vs_baseline,net_profit_gap_ci95_half_width_vs_baseline
work2_phase08_pilot,20260604T124624Z_bf03b88d,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\studies\work2_phase08_pilot\20260604T124624Z_bf03b88d,bf03b88d675a048322bc654c3c665fb57d243f42,seed0,0,cnn_menu,CNN-Menu,top_k_cheapest,3,10,3,True,-5025.381038218356,-17880.381038218355,,0.3437165775401069,0.4000000000000001,0.95,0.05,0.0,0.0,policy_compare,support,,,2026-06-04T13:28:58Z,nogit-b7e07effc8bc,0,1,0,RC,700,0.0,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\shared_training\work2_phase08_pilotseed0_bf03b88d\0\checkpoints\,True,existing_checkpoint,20,374.0,294930.0,2506.9049999999997,983.4618149999999,489.3,1201.3617063091697,155.6474830908151,5025.381038218356,12855.0,244.65,374.0,128.55,4.0,3.0,0.0,0.0,0.654144385026738,2616.673796791444,3467.1381927487323,3547.580088898651,48.10301374914469,-3.9161715562965798,0.030693318328868725,0.03327890911841775,0.656283422459893,0.345855614973262,-1.0660347104315138,0.7307490256477732,0.11869326720910203,0.0,0.0,0.0,0.0,1373.876033944473,1103.6673376296812,1513.0822061810586,1242.5824779462687,1513.0822061810586,-1242.5824779462687,1678.3533291757108,2192.8533291757108,2375.5533291757106,1408.3308736681938,1922.8308736681938,2105.5308736681936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.18324506893686,523.5428041389067,0.6412433155080215,1.0,1.0,27.968719521517947,1122.0,1496.0,26.544549421500385,27.044549421500385,27.062806603344775,0.018257181844385906,-2.9081924569501822,0.1440106222758793,-3.8333274673734556,-5.706541265056513,-3.208922868145769,False,-643.5787547356558,643.5787547356556,0.0,52.98038675701358,,,,
work2_phase08_pilot,20260604T124624Z_bf03b88d,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\studies\work2_phase08_pilot\20260604T124624Z_bf03b88d,bf03b88d675a048322bc654c3c665fb57d243f42,seed0,0,cnn_setmenu_net_current,CNN-SetMenuNet current,menu_optimization,3,10,3,True,-5092.4396860790675,-18902.439686079066,,0.36925133689839573,0.4000000000000001,0.95,0.05,0.0,0.0,policy_compare,support,,,2026-06-04T13:28:58Z,nogit-b7e07effc8bc,0,1,0,RC,700,0.0,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\shared_training\work2_phase08_pilotseed0_bf03b88d\0\checkpoints\,True,existing_checkpoint,20,374.0,287460.0,2443.4100000000008,1032.8787750000006,517.9,1202.8504527514897,104.5995416724232,5092.4396860790675,13810.0,258.95,374.0,138.1,4.0,3.0,0.0,0.0,0.692379679144385,2274.978609625668,3391.5891914751446,3748.815917775657,43.05661113191984,-4.210223958967791,0.03584328958718605,0.038348970311210755,0.6307486631016042,0.3076203208556149,-1.1643472782326323,0.7647644501409189,0.07940925925835567,0.0,0.0,0.0,0.0,1592.188595325407,1319.2283555581976,2178.6408960206304,1896.318841582632,2178.6408960206304,-1896.318841582632,1854.7533291757106,3498.003329175711,3551.002079175711,1584.730873668194,3210.130873668194,3235.330873668194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.3464964786327,771.2558680515657,0.5024064171122995,1.0,1.0,26.17122033180184,1122.0,1496.0,26.29808567322575,26.79808567322575,26.79808567322575,0.0,-2.756810071219787,0.14014099857014306,-3.4867971773192297,-3.663596477234683,-3.4278640773474107,False,-710.6374025963678,710.6374025963681,0.0,44.10421961893418,,,,
work2_phase08_pilot,20260604T124624Z_bf03b88d,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\studies\work2_phase08_pilot\20260604T124624Z_bf03b88d,bf03b88d675a048322bc654c3c665fb57d243f42,seed0,0,cost_L,Cost-L heuristic,cost_l_heuristic,3,10,3,True,-5042.8117759506795,-17792.811775950682,-5042.8117759506795,0.34090909090909094,0.4000000000000001,1.0,0.0,0.0,0.0,policy_compare,support,,,2026-06-04T13:28:58Z,nogit-b7e07effc8bc,0,1,0,RC,700,0.0,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\shared_training\work2_phase08_pilotseed0_bf03b88d\0\checkpoints\,True,existing_checkpoint,20,374.0,297942.0,2532.5069999999996,968.3227200000001,480.4,1210.3324408759156,148.75038492523555,5042.8117759506795,12750.0,240.2,374.0,127.5,4.0,3.0,0.0,0.0,0.6422459893048129,2523.272727272727,3487.0982792731656,3505.556024727528,48.4352775735952,-3.931753081258575,0.030727519185679474,0.033317497388564335,0.659090909090909,0.3577540106951872,-1.0769179342275619,0.7321060610241604,0.11212912832782104,0.0,0.0,0.0,0.0,1338.7013694872371,1068.5546828422393,1494.0717783735715,1223.6001250050922,1494.0717783735715,-1223.6001250050922,1672.0533291757106,2134.5783291757107,2344.0533291757106,1402.0308736681939,1864.0308736681939,2074.0308736681936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.2968872873746,523.7856730007771,0.22553475935828876,1.0,1.0,27.163798222744255,1122.0,1496.0,27.13079193465716,27.63079193465716,27.648537752868826,0.01774581821166832,-2.96299718433235,0.1441284901404381,-3.9578773184533427,-5.853650154227735,-3.3259530398618793,False,-661.009492467981,661.009492467981,0.0,44.007752697785705,,,,
work2_phase08_pilot,20260604T124624Z_bf03b88d,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\studies\work2_phase08_pilot\20260604T124624Z_bf03b88d,bf03b88d675a048322bc654c3c665fb57d243f42,seed0,0,cost_oracle,Cost Oracle,cost_oracle,3,10,3,True,-5043.627775950679,-17793.627775950685,-5043.627775950679,0.34090909090909094,0.4000000000000001,1.0,0.0,0.0,0.0,policy_compare,support,,,2026-06-04T13:28:58Z,nogit-b7e07effc8bc,0,1,0,RC,700,0.0,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\shared_training\work2_phase08_pilotseed0_bf03b88d\0\checkpoints\,True,existing_checkpoint,20,374.0,298038.0,2533.323,968.3227200000001,480.4,1210.3324408759156,148.75038492523555,5043.627775950679,12750.0,240.2,374.0,127.5,4.0,3.0,0.0,0.0,0.6422459893048129,2523.272727272727,3487.0982792731656,3505.556024727528,48.4352775735952,-3.931753081258575,0.030247032727528222,0.0328107654729629,0.659090909090909,0.3577540106951872,-1.0769179342275619,0.7321060610241604,0.11212912832782104,0.0,0.0,0.0,0.0,1338.7013694872371,1068.5546828422393,1494.0717783735715,1223.6001250050922,1494.0717783735715,-1223.6001250050922,1672.0533291757106,2134.5783291757107,2344.0533291757106,1402.0308736681939,1864.0308736681939,2074.0308736681936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.2968872873746,523.7856730007771,0.22553475935828876,1.0,1.0,27.163798222744255,1122.0,1496.0,27.13079193465716,27.63079193465716,27.648537752868826,0.01774581821166832,-2.96299718433235,0.1441284901404381,-3.9578773184533427,-5.853650154227735,-3.3259530398618793,False,-661.825492467981,661.825492467981,0.0,44.195634032112636,,,,
work2_phase08_pilot,20260604T124624Z_bf03b88d,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\studies\work2_phase08_pilot\20260604T124624Z_bf03b88d,bf03b88d675a048322bc654c3c665fb57d243f42,seed0,0,expected_profit_enumeration,Expected-Profit Enumeration,expected_profit_enumeration,3,10,3,True,-5091.926599897708,-18866.926599897706,,0.36831550802139035,0.4000000000000001,0.9,0.1,120.0,0.0,policy_compare,support,,,2026-06-04T13:28:58Z,nogit-b7e07effc8bc,0,1,0,RC,700,0.0,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\shared_training\work2_phase08_pilotseed0_bf03b88d\0\checkpoints\,True,existing_checkpoint,20,374.0,287328.0,2442.288,1033.9760400000002,517.3,1201.2306153362863,102.86805543857918,5091.926599897708,13775.0,258.65,374.0,137.75,4.0,3.0,0.0,0.0,0.6915775401069518,2309.743315508021,3389.351091716966,3715.144527401325,44.2891042580889,-4.207523657947477,0.05735177033270191,0.059889335013965886,0.6316844919786098,0.3084224598930482,-1.1625644043529042,0.7596489978129576,0.07826987848279168,0.0,0.0,0.0,0.0,1557.5050870750817,1285.5031699196343,2118.5162302452295,1838.018574202953,2118.5162302452295,-1838.018574202953,1774.4283291757106,3490.128329175711,3541.0533291757106,1504.9308736681937,3203.830873668194,3235.330873668194,1.0,-14.148827149935684,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,187.6982491841623,698.2372846399315,0.45467914438502666,1.0,1.0,27.38600241075465,1122.0,1496.0,26.398418971334344,26.898418971334344,27.098781266803172,0.20036229546883103,-2.7706295048482765,0.14091624298275288,-3.537206787483921,-3.9109154495880736,-3.4126372334492032,False,-710.1243164150083,710.1243164150085,0.0,42.02235866759897,,,,
work2_phase08_pilot,20260604T124624Z_bf03b88d,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\studies\work2_phase08_pilot\20260604T124624Z_bf03b88d,bf03b88d675a048322bc654c3c665fb57d243f42,seed0,0,full_display,full display,offer_all_feasible_bundles,3,10,3,True,-4381.802283482697,-13896.802283482702,-4381.802283482697,0.25441176470588234,0.4000000000000001,1.0,0.0,0.0,0.0,policy_compare,support,,,2026-06-04T13:28:58Z,nogit-b7e07effc8bc,0,1,0,RC,700,0.0,,True,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\shared_training\work2_phase08_pilotseed0_bf03b88d\0\checkpoints\,True,existing_checkpoint,20,374.0,285726.0,2428.6710000000003,696.0145950000002,344.1,1172.1004580600068,259.0837695773078,4381.802283482697,9515.0,172.05,374.0,95.15,11.0,10.0,0.0,0.0,0.4600267379679144,4358.470588235294,3214.9255028734974,3861.78035627833,27.510573898764942,-2.962430363974989,0.030566774785922048,0.03355438801694043,0.7455882352941176,0.5399732620320856,-0.8184666622867658,0.5323627223413214,0.17183112546161639,0.0,0.0,0.0,0.0,1996.8605633968175,1719.529172897203,2464.1858224912185,2181.1308736681945,2464.1858224912185,-2181.1308736681945,2742.7908291757108,3504.8283291757107,3515.3283291757107,2374.330873668194,3235.330873668194,3235.330873668194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.69999088133443,1484.733146556572,0.5489483065953655,0.719162210338681,1.0,12.880479992418051,3740.0,4114.0,9.105546940131582,9.287365121949763,9.58668822114196,0.2993230991921965,-2.0624917041803577,0.05904255354557871,-0.8158372597734539,-0.8462172739813323,-0.8127992583526661,False,,,,,,,,
work2_phase08_pilot,20260604T124624Z_bf03b88d,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\studies\work2_phase08_pilot\20260604T124624Z_bf03b88d,bf03b88d675a048322bc654c3c665fb57d243f42,seed0,0,nearest_L,Nearest-L,nearest_heuristic,3,10,3,True,-4982.278941705062,-18497.27894170506,,0.3613636363636364,0.4000000000000001,0.95,0.05,0.0,0.0,policy_compare,support,,,2026-06-04T13:28:58Z,nogit-b7e07effc8bc,0,1,0,RC,700,0.0,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\shared_training\work2_phase08_pilotseed0_bf03b88d\0\checkpoints\,True,existing_checkpoint,20,374.0,282942.0,2405.007,1036.040265,519.3,1176.940565129221,155.0088884241594,4982.278941705061,13515.0,259.65,374.0,135.15,4.0,3.0,0.0,0.0,0.6942513368983957,1367.7272727272725,3264.5447702868073,3931.2816931767265,35.17261618188657,-4.089513149685628,0.031239327953388813,0.03385049279998331,0.6386363636363636,0.3057486631016043,-1.0696135197699528,0.7470129369233985,0.12069471822280173,0.0,0.0,0.0,0.0,1877.5193041126029,1600.1826543357522,2136.336751635604,1854.7231196574987,2136.336751635604,-1854.7231196574987,1782.8283291757107,3505.3533291757108,3512.7033291757107,1513.3308736681938,3235.330873668194,3235.330873668194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.6503215657621,1323.797566447048,0.3759358288770053,1.0,1.0,21.589665176088317,1122.0,1496.0,17.366385275981663,17.866385275981663,18.08707427599275,0.22068900001108585,-2.5716791293218972,0.1389135027772358,-2.452739299176204,-3.4323305295609208,-2.126208889047965,False,-600.4766582223626,600.4766582223625,0.0,49.11259672155458,,,,
work2_phase08_pilot,20260604T124624Z_bf03b88d,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\studies\work2_phase08_pilot\20260604T124624Z_bf03b88d,bf03b88d675a048322bc654c3c665fb57d243f42,seed0,0,profit_oracle,Profit Oracle,profit_oracle,3,10,3,True,-5116.619930268073,-18821.61993026807,,0.36644385026737963,0.4000000000000001,0.95,0.05,120.0,0.0,policy_compare,support,,,2026-06-04T13:28:58Z,nogit-b7e07effc8bc,0,1,0,RC,700,0.0,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\shared_training\work2_phase08_pilotseed0_bf03b88d\0\checkpoints\,True,existing_checkpoint,20,374.0,289218.0,2458.353,1037.3782500000002,519.0,1203.7340374436458,101.8453571755737,5116.619930268073,13705.0,259.5,374.0,137.05,4.0,3.0,0.0,0.0,0.6938502673796791,2285.4866310160423,3410.222311038201,3691.6298215189718,166.24012901069517,-4.181598242242243,0.0568236926210083,0.05932404975840115,0.6335561497326203,0.30614973262032086,-1.1631444852753188,0.7650047425486127,0.07728591360587264,0.0,0.0,0.0,0.0,1525.372986312571,1252.802810699758,2112.749652705122,1831.3872907804937,2112.749652705122,-1831.3872907804937,1776.5283291757107,3521.628329175711,3541.027079175711,1504.9308736681937,3235.330873668194,3235.330873668194,1.0,-50.62299517227014,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,196.3806256684492,740.4236877327767,1.0,1.0,1.0,93.01609940538131,1122.0,1496.0,87.83193420120318,88.33193420120318,88.54804649667247,0.21611229546929703,-2.6943246306490307,0.1409944687546067,-12.655748793067533,-20.455249071944163,-10.055915366775322,False,-734.8176467853734,734.8176467853733,0.0,40.01017788066987,,,,
work2_phase08_pilot,20260604T124624Z_bf03b88d,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\studies\work2_phase08_pilot\20260604T124624Z_bf03b88d,bf03b88d675a048322bc654c3c665fb57d243f42,seed0,0,service_constrained_expected_profit,Service-Constrained Expected-Profit,service_constrained_expected_profit,3,10,3,True,-5039.378586762587,-18024.37858676259,,0.34719251336898393,0.4000000000000001,0.95,0.05,120.0,0.5129679144385028,policy_compare,support,,,2026-06-04T13:28:58Z,nogit-b7e07effc8bc,0,1,0,RC,700,0.0,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\shared_training\work2_phase08_pilotseed0_bf03b88d\0\checkpoints\,True,existing_checkpoint,20,374.0,290970.0,2473.245000000001,980.5316100000002,490.4,1219.1998292951498,123.99785253256466,5039.378586762587,12985.0,245.2,374.0,129.85,4.0,3.0,0.0,0.0,0.6556149732620321,2497.5561497326207,3503.9152922087123,3498.2357038719138,45.522034568018285,-4.059089120946542,0.05718973302089405,0.059722472735267276,0.6528074866310161,0.3443850267379679,-1.122057285502249,0.7436207958187215,0.09328985388503308,0.0,0.0,0.0,0.0,1318.3843186926094,1046.9213038236453,1616.2461099243737,1338.020178481028,1616.2461099243737,-1338.020178481028,1615.3533291757108,3005.5008291757104,3521.1033291757108,1345.3308736681938,2691.4308736681937,3210.130873668194,1.0,-14.584670331482382,0.0,0.0,0.0,0.0,0.0,10.0,0.4242803161893124,-57.01270195041362,189.0238360207211,682.0324863313225,0.38275401069518716,1.0,1.0,26.261768475430404,1122.0,1496.0,26.754092529710192,27.2540925297102,27.413076984280206,0.1589844545700163,-2.8301029248077603,0.14392992095267187,-3.6461675828705955,-4.420473956188767,-3.388065458431206,False,-657.5763032798862,657.5763032798862,0.0,42.59669797253627,,,,
work2_phase08_pilot,20260604T124624Z_bf03b88d,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\studies\work2_phase08_pilot\20260604T124624Z_bf03b88d,bf03b88d675a048322bc654c3c665fb57d243f42,seed1,1,cnn_menu,CNN-Menu,top_k_cheapest,3,10,3,True,-5001.422792018971,-18511.422792018977,,0.36122994652406415,0.4000000000000001,0.9,0.1,0.0,0.0,policy_compare,support,,,2026-06-04T13:28:58Z,nogit-b7e07effc8bc,0,1,1,RC,700,0.0,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\shared_training\work2_phase08_pilotseed1_bf03b88d\1\checkpoints\,False,fresh_training,20,374.0,292704.0,2487.984,989.9130600000002,495.7,1174.7717299495603,146.94599793058921,5001.422792018971,13510.0,247.85,374.0,135.1,4.0,3.0,0.0,0.0,0.6627005347593582,2600.695187165775,3411.038750778487,3555.004687829133,48.77254321913304,-3.9567562637420424,0.029797253742338436,0.03231135826697325,0.6387700534759359,0.3372994652406417,-1.0754130792230736,0.7380541221685435,0.11402730833574015,0.0,0.0,0.0,0.0,1370.562641732458,1100.5989937830923,1527.9412970901492,1257.364830887445,1527.9412970901492,-1257.364830887445,1699.8783291757106,2049.9483291757106,2383.4283291757106,1429.3308736681938,1777.9308736681937,2111.830873668194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.1226234397381,522.5480912698602,0.6548796791443852,1.0,1.0,23.295494873814757,1122.0,1496.0,25.828436938671125,26.328436938671125,26.348091847787874,0.019654909116747638,-2.71422609159424,0.14424772344234355,-3.395402633660306,-5.455687424608001,-2.708641036677741,False,-597.3028600428698,597.3028600428695,0.0,45.35442598845161,,,,
work2_phase08_pilot,20260604T124624Z_bf03b88d,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\studies\work2_phase08_pilot\20260604T124624Z_bf03b88d,bf03b88d675a048322bc654c3c665fb57d243f42,seed1,1,cnn_setmenu_net_current,CNN-SetMenuNet current,menu_optimization,3,10,3,True,-5062.792484066396,-19567.792484066398,,0.38783422459893047,0.4000000000000001,0.65,0.35,0.0,0.0,policy_compare,support,,,2026-06-04T13:28:58Z,nogit-b7e07effc8bc,0,1,1,RC,700,0.0,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\shared_training\work2_phase08_pilotseed1_bf03b88d\1\checkpoints\,False,fresh_training,20,374.0,283470.0,2409.495,1050.3070050000001,532.4,1170.125618750172,99.5351396837765,5062.792484066396,14505.0,266.2,374.0,145.05,4.0,3.0,0.0,0.0,0.7117647058823529,2226.83422459893,3340.311888124323,3770.3701958505226,42.51095210014974,-4.24679090292739,0.03460892958602031,0.03701325568923338,0.6121657754010694,0.28823529411764703,-1.1687916159140683,0.7698937044261076,0.07690444423197453,0.0,0.0,0.0,0.0,1609.0732276935685,1335.0731963643311,2222.844773025978,1938.4835474649851,2222.844773025978,-1938.4835474649851,1859.4783291757108,3528.9783291757108,3571.923329175711,1588.9308736681937,3235.330873668194,3235.330873668194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.85126804140776,783.3561131769585,0.5338903743315507,1.0,1.0,25.265990871447045,1122.0,1496.0,25.78561029130949,26.28561029130949,26.28561029130949,0.0,-2.571009846904689,0.14025809895033198,-3.107621871256305,-3.2107770004694607,-3.073236828185253,False,-658.6725520902943,658.6725520902944,0.0,61.96163384788916,,,,
work2_phase08_pilot,20260604T124624Z_bf03b88d,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\studies\work2_phase08_pilot\20260604T124624Z_bf03b88d,bf03b88d675a048322bc654c3c665fb57d243f42,seed1,1,cost_L,Cost-L heuristic,cost_l_heuristic,3,10,3,True,-5014.624861609006,-18514.624861609005,,0.36096256684491984,0.4000000000000001,0.9,0.1,0.0,0.0,policy_compare,support,,,2026-06-04T13:28:58Z,nogit-b7e07effc8bc,0,1,1,RC,700,0.0,,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,,C:\Users\39583\Desktop\4_Publication\2.paper_2_menu optimization-7分_trE\ooh_code\outputs\shared_training\work2_phase08_pilotseed1_bf03b88d\1\checkpoints\,False,fresh_training,20,374.0,295308.0,2510.118,984.8791050000002,491.7,1174.0807298110446,146.15297320203908,5014.624861609006,13500.0,245.85,374.0,135.0,4.0,3.0,0.0,0.0,0.6573529411764706,2464.8288770053477,3435.5465335983245,3523.731693176726,48.28954873910537,-3.9531795010748985,0.02969083505371999,0.03219388127326965,0.6390374331550802,0.3426470588235294,-1.0753063389219388,0.7375279836960301,0.11320696631074272,0.0,0.0,0.0,0.0,1333.4059229713464,1063.3090767859608,1506.7672329190261,1236.0017292831672,1506.7672329190261,-1236.0017292831672,1674.1533291757107,2247.4533291757107,2373.2170791757117,1404.1308736681938,1977.4308736681937,2099.4408736681953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.8163283052273,521.5726914588663,0.3895053475935829,1.0,1.0,23.74493211758459,1122.0,1496.0,26.012598571781552,26.512598571781552,26.535696662719356,0.023098090937805116,-2.729299140709678,0.14441848898929108,-3.4474553847954987,-5.510653171358059,-2.7597227892746448,False,-610.5049296329046,610.5049296329046,0.0,45.86323039381127,,,,
